,Date,Stage,Distance Covered,Type,Departure,Arrival,Category UCI,Name,Family Name,Nationality,Dual National,Native Country,NC-From,NC-To,Adopted Country,AC-From,AC-To,Age,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,21_1,22_1,23_1
1752,19-07-1954,11º stage Distance:,241 km,Road – Stage,"    Bayonne (Aquitaine), France ","Pau (Aquitaine), France",,Stan,Ockers,Belgium ,N,,,,,,,36 years,Date of birth:,03-02-1920,Place of birth:,"Borgerhout (Antwerpen), Belgium ",Date of death:|01-10-1956|Place of death:| ,"    Merksem (Antwerpen), Belgium",Professional:,1941-1956,, , ,,,,,,Date of death:|01-10-1956|Place of death:| , ,Age:,36 years
1753,20-07-1954,12º stage Distance:,161 km,Road – Stage,"    Pau (Aquitaine), France ","Luchon (Midi-Pyrenees), France",,Gilbert,Bauvin,France ,N,,,,,,,92  years,Date of birth:,04-08-1927,Place of birth:,"Lunéville (Lorraine), France ",Date of death:||Place of death:|,1950-1960,, , ,,,,,,,,Professional:, ,Age:,92  years
1754,21-07-1954,13º stage Distance:,203 km,Road – Stage,"    Luchon (Midi-Pyrenees), France ","Toulouse (Midi-Pyrenees), France",,Fred,De Bruyne,Belgium ,N,,,,,,,63 years,Date of birth:,21-10-1930,Place of birth:,"Berlare (Oost-Vlaanderen), Belgium ",Date of death:|04-02-1994|Place of death:| ,"    Seillans (Provence-Alpes-Cote d'Azur), France",Professional:,1953-1961,, , ,,,,,,Date of death:|04-02-1994|Place of death:| , ,Age:,63 years
1755,22-07-1954,14º stage Distance:,225 km,Road – Stage,"    Toulouse (Midi-Pyrenees), France ","Millau (Midi-Pyrenees), France",,Ferdi,Kübler,Switzerland ,N,,,,,,,97 years,Date of birth:,24-07-1919,Place of birth:,"Marthalen (Schaffhausen), Switzerland ",Date of death:|29-12-2016|Place of death:| ,"    Zürich (Zürich), Switzerland",Professional:,1940-1957,, , ,,,,,,Date of death:|29-12-2016|Place of death:| , ,Age:,97 years
1756,23-07-1954,15º stage Distance:,197 km,Road – Stage,"    Millau (Midi-Pyrenees), France ","Le Puy (Aquitaine), France",,Dominique,Forlini,France ,N,,,,,,,90 years,Date of birth:,14-09-1924,Place of birth:,"Paris (Ile-de-France), France ",Date of death:|17-10-2014|Place of death:| ,"    Sèvres (Ile-de-France), France",Professional:,1948-1962,, , ,,,,,,Date of death:|17-10-2014|Place of death:| , ,Age:,90 years
1757,24-07-1954,16º stage Distance:,194 km,Road – Stage,"    Le Puy (Rhone-Alpes), France ","Lyon (Rhone-Alpes), France",,Jean,Forestier,France ,N,,,,,,,88  years,Date of birth:,07-10-1930,Place of birth:,"Lyon (Rhone-Alpes), France ",Date of death:||Place of death:|,1953-1965,, , ,,,,,,,,Professional:, ,Age:,88  years
1758,26-07-1954,17º stage Distance:,182 km,Road – Stage,"    Lyon (Rhone-Alpes), France ","Grenoble (Rhone-Alpes), France",,Lucien,Lazaridès,France ,Y,   GRE , 30-12-1922 , 25-08-1929,,,,82 years,Age:,82 years,Date of birth:,30-12-1922,|Place of birth:,"Athina (Attiki), Greece ",Date of death:19-07-2005Place of death: ,"    Cannes (Provence-Alpes-Cote d'Azur), France",Professional:,1946-1956,, , ,,,,|Place of birth:,   GRE from 30-12-1922 until 25-08-1929,Gender:, 
1759,27-07-1954,18º stage Distance:,216 km,Road – Stage,"    Grenoble (Rhone-Alpes), France ","Briançon (Provence-Alpes-Cote d'Azur), France",,Louison,Bobet,France ,N,,,,,,,58 years,Date of birth:,12-03-1925,Place of birth:,"Saint-Méen-le-Grand (Bretagne), France ",Date of death:|13-03-1983|Place of death:| ,"    Biarritz (Aquitaine), France",Professional:,1947-1962,, , ,,,,,,Date of death:|13-03-1983|Place of death:| , ,Age:,58 years
1760,28-07-1954,19º stage Distance:,221 km,Road – Stage,"    Briançon (Provence-Alpes-Cote d'Azur), France ","Aix-les-Bains (Rhone-Alpes), France",,Jean,Dotto,France ,Y,   ITA , 27-03-1928 , 01-09-1937,,,,71 years,Age:,71 years,Date of birth:,27-03-1928,|Place of birth:,"Saint-Nazaire (Pays de la Loire), France ",Date of death:20-02-2000Place of death: ,"    Ollioules (Provence-Alpes-Cote d'Azur), France",Professional:,1949-1963,, , ,,,,|Place of birth:,   ITA from 27-03-1928 until 01-09-1937,Gender:, 
1761,29-07-1954,20º stage Distance:,243 km,Road – Stage,"    Aix-les-Bains (Rhone-Alpes), France ","Besançon (Franche-Comte), France",,Lucien,Teisseire,France ,N,,,,,,,88 years,Date of birth:,11-12-1919,Place of birth:,"Saint-Laurent-du-Var (Provence-Alpes-Cote d'Azur), France ",Date of death:|22-12-2007|Place of death:| ,"    Plonévez-Porzay (Bretagne), France",Professional:,1941-1955,, , ,,,,,,Date of death:|22-12-2007|Place of death:| , ,Age:,88 years
1762,30-07-1954,21º stage part  a Distance:,134 km,Road – Stage,"    Besançon (Franche-Comte), France ","Épinal (Lorraine), France",,François,Mahé,France ,N,,,,,,,84 years,Date of birth:,02-09-1930,Place of birth:,"Arradon (Bretagne), France ",Date of death:|31-05-2015|Place of death:| ,"    Hyères (Provence-Alpes-Cote d'Azur), France",Professional:,1950-1965,, , ,,,,,,Date of death:|31-05-2015|Place of death:| , ,Age:,84 years
1763,30-07-1954,21º stage part  b Distance:,72 km,Road – Individual Time Trial,"    Épinal (Lorraine), France ","Nancy (Lorraine), France",,Louison,Bobet,France ,N,,,,,,,58 years,Date of birth:,12-03-1925,Place of birth:,"Saint-Méen-le-Grand (Bretagne), France ",Date of death:|13-03-1983|Place of death:| ,"    Biarritz (Aquitaine), France",Professional:,1947-1962,, , ,,,,,,Date of death:|13-03-1983|Place of death:| , ,Age:,58 years
1764,31-07-1954,22º stage Distance:,216 km,Road – Stage,"    Nancy (Lorraine), France ","Troyes (Champagne-Ardenne), France",,Fred,De Bruyne,Belgium ,N,,,,,,,63 years,Date of birth:,21-10-1930,Place of birth:,"Berlare (Oost-Vlaanderen), Belgium ",Date of death:|04-02-1994|Place of death:| ,"    Seillans (Provence-Alpes-Cote d'Azur), France",Professional:,1953-1961,, , ,,,,,,Date of death:|04-02-1994|Place of death:| , ,Age:,63 years
1765,01-08-1954,23º stage Distance:,180 km,Road – Stage,"    Troyes (Champagne-Ardenne), France ","Paris (Ile-de-France), France",,Robert,Varnajo,France ,N,,,,,,,90  years,Date of birth:,01-05-1929,Place of birth:,"Curzon (Pays de la Loire), France ",Date of death:||Place of death:|,1950-1965,, , ,,,,,,,,Professional:, ,Age:,90  years
1766,01-08-1954, Distance:, km,Classification – Road – Mountains Classification,,,,Federico,Martín Bahamontes,Spain ,N,,,,,,,91  years,Date of birth:,09-07-1928,Place of birth:,"Val de Santo Domingo (Castilla-La Mancha), Spain ",Date of death:||Place of death:|,1953-1965,Websites:,http://galeon.com/bahamontes/index.html, , ,,,,,,,Professional:, ,Age:,91  years
1767,01-08-1954, Distance:, km,Classification – Road – Points Classification,,,,Ferdi,Kübler,Switzerland ,N,,,,,,,97 years,Date of birth:,24-07-1919,Place of birth:,"Marthalen (Schaffhausen), Switzerland ",Date of death:|29-12-2016|Place of death:| ,"    Zürich (Zürich), Switzerland",Professional:,1940-1957,, , ,,,,,,Date of death:|29-12-2016|Place of death:| , ,Age:,97 years
1768,01-08-1954, Distance:, km,Classification – Road – General Classification,,,,Louison,Bobet,France ,N,,,,,,,58 years,Date of birth:,12-03-1925,Place of birth:,"Saint-Méen-le-Grand (Bretagne), France ",Date of death:|13-03-1983|Place of death:| ,"    Biarritz (Aquitaine), France",Professional:,1947-1962,, , ,,,,,,Date of death:|13-03-1983|Place of death:| , ,Age:,58 years
1769,03-07-1953,1º stage Distance:,195 km,Road – Stage,"    Strasbourg (Alsace), France ","Metz (Lorraine), France",,Fritz,Schär,Switzerland ,N,,,,,,,71 years,Date of birth:,13-03-1926,Place of birth:,"Kaltenbach (Thurgau), Switzerland ",Date of death:|29-09-1997|Place of death:| ,"    Frauenfeld (Thurgau), Switzerland",Professional:,1947-1958,, , ,,,,,,Date of death:|29-09-1997|Place of death:| , ,Age:,71 years
1770,04-07-1953,2º stage Distance:,227 km,Road – Stage,"    Metz (Lorraine), France ","Liège (Liege), Belgium",,Fritz,Schär,Switzerland ,N,,,,,,,71 years,Date of birth:,13-03-1926,Place of birth:,"Kaltenbach (Thurgau), Switzerland ",Date of death:|29-09-1997|Place of death:| ,"    Frauenfeld (Thurgau), Switzerland",Professional:,1947-1958,, , ,,,,,,Date of death:|29-09-1997|Place of death:| , ,Age:,71 years
1771,05-07-1953,3º stage Distance:,221 km,Road – Stage,"    Liège (Liege), Belgium ","Lille (Nord-Pas-de-Calais), France",,Stanislas,Bober,France ,N,,,,,,,45 years,Date of birth:,12-03-1930,Place of birth:,"Nanterre (Ile-de-France), France ",Date of death:|08-07-1975|Place of death:| ,"    Paris (Ile-de-France), France",Professional:,1952-1961,, , ,,,,,,Date of death:|08-07-1975|Place of death:| , ,Age:,45 years
1772,06-07-1953,4º stage Distance:,188 km,Road – Stage,"    Lille (Nord-Pas-de-Calais), France ","Dieppe (Haute-Normandie), France",,Gerrit,Voorting,The Netherlands ,N,,,,,,,92 years,Date of birth:,18-01-1923,Place of birth:,"Velsen (Noord-Holland), The Netherlands ",Date of death:|30-01-2015|Place of death:| ,"    Heemskerk (Noord-Holland), The Netherlands",Professional:,1949-1961,, , ,,,,,,Date of death:|30-01-2015|Place of death:| , ,Age:,92 years
1773,07-07-1953,5º stage Distance:,200 km,Road – Stage,"    Dieppe (Haute-Normandie), France ","Caen (Basse-Normandie), France",,Jean,Malléjac,France ,N,,,,,,,71 years,Date of birth:,19-07-1929,Place of birth:,"Dirinon (Bretagne), France ",Date of death:|24-09-2000|Place of death:| ,"    Landerneau (Bretagne), France",Professional:,1949-1958,, , ,,,,,,Date of death:|24-09-2000|Place of death:| , ,Age:,71 years
1774,08-07-1953,6º stage Distance:,205 km,Road – Stage,"    Caen (Basse-Normandie), France ","Le Mans (Pays de la Loire), France",,Martin,Van Geneugden,Belgium ,N,,,,,,,82 years,Date of birth:,21-01-1932,Place of birth:,"Zutendaal (Limburg), Belgium ",Date of death:|08-07-2014|Place of death:| ,"    Genk (Limburg), Belgium",Professional:,1953-1963,, , ,,,,,,Date of death:|08-07-2014|Place of death:| , ,Age:,82 years
1775,09-07-1953,7º stage Distance:,181 km,Road – Stage,"    Le Mans (Pays de la Loire), France ","Nantes (Pays de la Loire), France",,Livio,Isotti,Italy ,N,,,,,,,72 years,Date of birth:,29-06-1927,Place of birth:,"Pesaro (Marche), Italy ",Date of death:|19-09-1999|Place of death:| ,"    Hamilton (Ontario), Canada",Professional:,1950-1955,, , ,,,,,,Date of death:|19-09-1999|Place of death:| , ,Age:,72 years
1776,10-07-1953,8º stage Distance:,345 km,Road – Stage,"    Nantes (Pays de la Loire), France ","Bordeaux (Aquitaine), France",,Jan,Nolten,The Netherlands ,N,,,,,,,84 years,Date of birth:,20-01-1930,Place of birth:,"Sittard-Geleen (Limburg), The Netherlands ",Date of death:|13-07-2014|Place of death:| ,"    Sittard-Geleen (Limburg), The Netherlands",Professional:,1952-1959,Commemorations, , ,,,,,,Date of death:|13-07-2014|Place of death:| , ,Age:,84 years
1777,12-07-1953,9º stage Distance:,197 km,Road – Stage,"    Bordeaux (Aquitaine), France ","Pau (Aquitaine), France",,Fiorenzo,Magni,Italy ,N,,,,,,,91 years,Date of birth:,07-12-1920,Place of birth:,"Vaiano (Toscana), Italy ",Date of death:|19-10-2012|Place of death:| ,"    Monza (Lombardia), Italy",Professional:,19381940-1945 + 1947-1956,, , ,,,,,,Date of death:|19-10-2012|Place of death:| , ,Age:,91 years
1778,13-07-1953,10º stage Distance:,100 km,Road – Stage,"    Pau (Aquitaine), France ","Cauterets (Midi-Pyrenees), France",,Jesús,Loroño Arteaga,Spain ,N,,,,,,,72 years,Date of birth:,26-01-1926,Place of birth:,"Larrabezúa (Pais Vasco), Spain ",Date of death:|12-08-1998|Place of death:| ,"    Larrabezúa (Pais Vasco), Spain",Professional:,1947-1962,, , ,,,,,,Date of death:|12-08-1998|Place of death:| , ,Age:,72 years
1779,14-07-1953,11º stage Distance:,115 km,Road – Stage,"    Cauterets (Midi-Pyrenees), France ","Luchon (Midi-Pyrenees), France",,Jean,Robic,France ,N,,,,,,,59 years,Date of birth:,10-06-1921,Place of birth:,"Condé-lès-Vouziers (Champagne-Ardenne), France ",Date of death:|06-10-1980|Place of death:| ,"    Claye-Souilly (Ile-de-France), France",Professional:,1943-1961,, , ,,,,,,Date of death:|06-10-1980|Place of death:| , ,Age:,59 years
1780,15-07-1953,12º stage Distance:,228 km,Road – Stage,"    Luchon (Midi-Pyrenees), France ","Albi (Midi-Pyrenees), France",,André,Darrigade,France ,N,,,,,,,90  years,Date of birth:,24-04-1929,Place of birth:,"Narrosse (Aquitaine), France ",Date of death:||Place of death:|,1951-1966,, , ,,,,,,,,Professional:, ,Age:,90  years
1781,16-07-1953,13º stage Distance:,189 km,Road – Stage,"    Albi (Midi-Pyrenees), France ","Béziers (Languedoc-Roussillon), France",,Nello,Lauredi,France ,Y,   ITA , 05-10-1925 , 31-12-1948,,,,76 years,Age:,76 years,Date of birth:,05-10-1924,|Place of birth:,"Mulazzo (Toscana), Italy ",Date of death:08-04-2001Place of death: ,"    Saint-Laurent-du-Var (Provence-Alpes-Cote d'Azur), France",Professional:,1949-1959,, , ,,,,|Place of birth:,   ITA from 05-10-1925 until 31-12-1948,Gender:, 
1782,17-07-1953,14º stage Distance:,214 km,Road – Stage,"    Béziers (Languedoc-Roussillon), France ","Nîmes (Languedoc-Roussillon), France",,Bernard,Quennehen,France ,N,,,,,,,85 years,Date of birth:,31-05-1930,Place of birth:,"Le Translay (Picardie), France ",Date of death:|22-01-2016|Place of death:|,"                , Unknown",Professional:,1952-1954,, , ,,,,,,Date of death:|22-01-2016|Place of death:|, ,Age:,85 years
1783,18-07-1953,15º stage Distance:,173 km,Road – Stage,"    Nîmes (Languedoc-Roussillon), France ","Marseille (Provence-Alpes-Cote d'Azur), France",,Maurice,Quentin,France ,N,,,,,,,92 years,Date of birth:,02-06-1920,Place of birth:,"Maizières-lès-Metz (Lorraine), France ",Date of death:|19-04-2013|Place of death:| ,"    Colpo (Bretagne), France",Professional:,1945-1959,, , ,,,,,,Date of death:|19-04-2013|Place of death:| , ,Age:,92 years
1784,19-07-1953,16º stage Distance:,236 km,Road – Stage,"    Marseille (Provence-Alpes-Cote d'Azur), France ","Monaco , Monaco",,Wim,Van Est,The Netherlands ,N,,,,,,,80 years,Date of birth:,25-03-1923,Place of birth:,"Fijnaart (Noord-Brabant), The Netherlands ",Date of death:|01-05-2003|Place of death:| ,"    Roosendaal (Noord-Brabant), The Netherlands",Websites:,https://www.facebook.com/pages/Wim-van-Est/279803745502879 , , ,,,,,,,Date of death:|01-05-2003|Place of death:| , ,Age:,80 years
1785,21-07-1953,17º stage Distance:,261 km,Road – Stage,"    Monaco , Monaco ","Gap (Provence-Alpes-Cote d'Azur), France",,Wout,Wagtmans,The Netherlands ,N,,,,,,,64 years,Date of birth:,10-11-1929,Place of birth:,"Rucphen (Noord-Brabant), The Netherlands ",Date of death:|15-08-1994|Place of death:| ,"    Sint Willebrord (Noord-Brabant), The Netherlands",Professional:,1950-1961,, , ,,,,,,Date of death:|15-08-1994|Place of death:| , ,Age:,64 years
1786,22-07-1953,18º stage Distance:,165 km,Road – Stage,"    Gap (Provence-Alpes-Cote d'Azur), France ","Briançon (Provence-Alpes-Cote d'Azur), France",,Louison,Bobet,France ,N,,,,,,,58 years,Date of birth:,12-03-1925,Place of birth:,"Saint-Méen-le-Grand (Bretagne), France ",Date of death:|13-03-1983|Place of death:| ,"    Biarritz (Aquitaine), France",Professional:,1947-1962,, , ,,,,,,Date of death:|13-03-1983|Place of death:| , ,Age:,58 years
1787,23-07-1953,19º stage Distance:,227 km,Road – Stage,"    Briançon (Provence-Alpes-Cote d'Azur), France ","Lyon (Rhone-Alpes), France",,Georges,Meunier,France ,N,,,,,,,90 years,Date of birth:,09-05-1925,Place of birth:,"Vierzon (Centre), France ",Date of death:|13-12-2015|Place of death:|,"                , Unknown",Professional:,1946-1961,, , ,,,,,,Date of death:|13-12-2015|Place of death:|, ,Age:,90 years
1788,24-07-1953,20º stage Distance:,70 km,Road – Individual Time Trial,"    Lyon (Rhone-Alpes), France ","Saint-Étienne (Rhone-Alpes), France",,Louison,Bobet,France ,N,,,,,,,58 years,Date of birth:,12-03-1925,Place of birth:,"Saint-Méen-le-Grand (Bretagne), France ",Date of death:|13-03-1983|Place of death:| ,"    Biarritz (Aquitaine), France",Professional:,1947-1962,, , ,,,,,,Date of death:|13-03-1983|Place of death:| , ,Age:,58 years
1789,25-07-1953,21º stage Distance:,210 km,Road – Stage,"    Saint-Étienne (Rhone-Alpes), France ","Montluçon (Auvergne), France",,Wout,Wagtmans,The Netherlands ,N,,,,,,,64 years,Date of birth:,10-11-1929,Place of birth:,"Rucphen (Noord-Brabant), The Netherlands ",Date of death:|15-08-1994|Place of death:| ,"    Sint Willebrord (Noord-Brabant), The Netherlands",Professional:,1950-1961,, , ,,,,,,Date of death:|15-08-1994|Place of death:| , ,Age:,64 years
1790,26-07-1953,22º stage Distance:,328 km,Road – Stage,"    Montluçon (Auvergne), France ","Paris (Ile-de-France), France",,Fiorenzo,Magni,Italy ,N,,,,,,,91 years,Date of birth:,07-12-1920,Place of birth:,"Vaiano (Toscana), Italy ",Date of death:|19-10-2012|Place of death:| ,"    Monza (Lombardia), Italy",Professional:,19381940-1945 + 1947-1956,, , ,,,,,,Date of death:|19-10-2012|Place of death:| , ,Age:,91 years
1791,26-07-1953, Distance:,4476 km,Classification – Road – General Classification,"    Strasbourg (Alsace), France ","Paris (Ile-de-France), France",,Louison,Bobet,France ,N,,,,,,,58 years,Date of birth:,12-03-1925,Place of birth:,"Saint-Méen-le-Grand (Bretagne), France ",Date of death:|13-03-1983|Place of death:| ,"    Biarritz (Aquitaine), France",Professional:,1947-1962,, , ,,,,,,Date of death:|13-03-1983|Place of death:| , ,Age:,58 years
1792,26-07-1953, Distance:, km,Classification – Road – Mountains Classification,"    Strasbourg (Alsace), France ","Paris (Ile-de-France), France",,Jesús,Loroño Arteaga,Spain ,N,,,,,,,72 years,Date of birth:,26-01-1926,Place of birth:,"Larrabezúa (Pais Vasco), Spain ",Date of death:|12-08-1998|Place of death:| ,"    Larrabezúa (Pais Vasco), Spain",Professional:,1947-1962,, , ,,,,,,Date of death:|12-08-1998|Place of death:| , ,Age:,72 years
1793,26-07-1953, Distance:, km,Classification – Road – Points Classification,"    Strasbourg (Alsace), France ","Paris (Ile-de-France), France",,Fritz,Schär,Switzerland ,N,,,,,,,71 years,Date of birth:,13-03-1926,Place of birth:,"Kaltenbach (Thurgau), Switzerland ",Date of death:|29-09-1997|Place of death:| ,"    Frauenfeld (Thurgau), Switzerland",Professional:,1947-1958,, , ,,,,,,Date of death:|29-09-1997|Place of death:| , ,Age:,71 years
1794,25-06-1952,1º stage Distance:,246 km,Road – Stage,"    Brest (Bretagne), France ","Rennes (Bretagne), France",,Rik,Van Steenbergen,Belgium ,N,,,,,,,78 years,Date of birth:,09-09-1924,Place of birth:,"Arendonk (Antwerpen), Belgium ",Date of death:|15-05-2003|Place of death:| ,"    Antwerpen (Antwerpen), Belgium",Professional:,1943-1966,, , ,,,,,,Date of death:|15-05-2003|Place of death:| , ,Age:,78 years
1795,26-06-1952,2º stage Distance:,181 km,Road – Stage,"    Rennes (Bretagne), France ","Le Mans (Pays de la Loire), France",,André,Rosseel,Belgium ,N,,,,,,,41 years,Date of birth:,23-11-1924,Place of birth:,"Lauwe (West-Vlaanderen), Belgium ",Date of death:|08-12-1965|Place of death:| ,"    Roeselare (West-Vlaanderen), Belgium",Professional:,1947-1957,, , ,,,,,,Date of death:|08-12-1965|Place of death:| , ,Age:,41 years
1796,27-06-1952,3º stage Distance:,189 km,Road – Stage,"    Le Mans (Pays de la Loire), France ","Rouen (Haute-Normandie), France",,Nello,Lauredi,France ,Y,   ITA , 05-10-1925 , 31-12-1948,,,,76 years,Age:,76 years,Date of birth:,05-10-1924,|Place of birth:,"Mulazzo (Toscana), Italy ",Date of death:08-04-2001Place of death: ,"    Saint-Laurent-du-Var (Provence-Alpes-Cote d'Azur), France",Professional:,1949-1959,, , ,,,,|Place of birth:,   ITA from 05-10-1925 until 31-12-1948,Gender:, 
1797,28-06-1952,4º stage Distance:,232 km,Road – Stage,"    Rouen (Haute-Normandie), France ","Roubaix (Nord-Pas-de-Calais), France",,Pierre,Molinéris,France ,N,,,,,,,88 years,Date of birth:,21-05-1920,Place of birth:,"Nice (Provence-Alpes-Cote d'Azur), France ",Date of death:|06-02-2009|Place of death:| ,"    Cuneo (Piemonte), Italy",Professional:,1942-1955,, , ,,,,,,Date of death:|06-02-2009|Place of death:| , ,Age:,88 years
1798,29-06-1952,5º stage Distance:,197 km,Road – Stage,"    Roubaix (Nord-Pas-de-Calais), France ","Namur (Namur), Belgium",,Jean,Diederich,Luxemburg ,N,,,,,,,90 years,Date of birth:,20-02-1922,Place of birth:,"Esch-sur-Alzette (Luxembourg), Luxemburg ",Date of death:|06-12-2012|Place of death:| ,"    Luxembourg (Luxembourg), Luxemburg",Professional:,1946-1954,, , ,,,,,,Date of death:|06-12-2012|Place of death:| , ,Age:,90 years
1799,30-06-1952,6º stage Distance:,228 km,Road – Stage,"    Namur (Namur), Belgium ","Metz (Lorraine), France",,Fiorenzo,Magni,Italy ,N,,,,,,,91 years,Date of birth:,07-12-1920,Place of birth:,"Vaiano (Toscana), Italy ",Date of death:|19-10-2012|Place of death:| ,"    Monza (Lombardia), Italy",Professional:,19381940-1945 + 1947-1956,, , ,,,,,,Date of death:|19-10-2012|Place of death:| , ,Age:,91 years
1800,01-07-1952,7º stage Distance:,60 km,Road – Individual Time Trial,"    Metz (Lorraine), France ","Nancy (Lorraine), France",,Fausto,Coppi,Italy ,N,,,,,,,40 years,Date of birth:,15-09-1919,Place of birth:,"Castellania (Piemonte), Italy ",Date of death:|02-01-1960|Place of death:| ,"    Tortona (Piemonte), Italy",Professional:,1938-19421945-1959,, , ,,,,,,Date of death:|02-01-1960|Place of death:| , ,Age:,40 years
1801,02-07-1952,8º stage Distance:,252 km,Road – Stage,"    Nancy (Lorraine), France ","Mulhouse (Alsace), France",,Raphaël,Géminiani,France ,N,,,,,,,94  years,Date of birth:,12-06-1925,Place of birth:,"Clermont-Ferrand (Auvergne), France ",Date of death:||Place of death:|,1946-1960,, , ,,,,,,,,Professional:, ,Age:,94  years
1802,03-07-1952,9º stage Distance:,238 km,Road – Stage,"    Mulhouse (Alsace), France ","Lausanne (Vaud), Switzerland",,Walter,Diggelmann,Switzerland ,N,,,,,,,83 years,Date of birth:,11-08-1915,Place of birth:,"Zürich (Zürich), Switzerland ",Date of death:|05-03-1999|Place of death:| ,"    Guntalingen (Zürich), Switzerland",Professional:,1939-1953,, , ,,,,,,Date of death:|05-03-1999|Place of death:| , ,Age:,83 years
1803,04-07-1952,10º stage Distance:,266 km,Road – Stage,"    Lausanne (Vaud), Switzerland ","L'Alpe-d'Huez (Rhone-Alpes), France",,Fausto,Coppi,Italy ,N,,,,,,,40 years,Date of birth:,15-09-1919,Place of birth:,"Castellania (Piemonte), Italy ",Date of death:|02-01-1960|Place of death:| ,"    Tortona (Piemonte), Italy",Professional:,1938-19421945-1959,, , ,,,,,,Date of death:|02-01-1960|Place of death:| , ,Age:,40 years
1804,06-07-1952,11º stage Distance:,182 km,Road – Stage,"    Le Bourg-d'Oisans (Rhone-Alpes), France ","Sestrières (Piemonte), Italy",,Fausto,Coppi,Italy ,N,,,,,,,40 years,Date of birth:,15-09-1919,Place of birth:,"Castellania (Piemonte), Italy ",Date of death:|02-01-1960|Place of death:| ,"    Tortona (Piemonte), Italy",Professional:,1938-19421945-1959,, , ,,,,,,Date of death:|02-01-1960|Place of death:| , ,Age:,40 years
1805,07-07-1952,12º stage Distance:,251 km,Road – Stage,"    Sestrières (Piemonte), Italy ","Monaco , Monaco",,Jan,Nolten,The Netherlands ,N,,,,,,,84 years,Date of birth:,20-01-1930,Place of birth:,"Sittard-Geleen (Limburg), The Netherlands ",Date of death:|13-07-2014|Place of death:| ,"    Sittard-Geleen (Limburg), The Netherlands",Professional:,1952-1959,Commemorations, , ,,,,,,Date of death:|13-07-2014|Place of death:| , ,Age:,84 years
1806,08-07-1952,13º stage Distance:,214 km,Road – Stage,"    Monaco , Monaco ","Aix-en-Provence (Provence-Alpes-Cote d'Azur), France",,Raoul,Rémy,France ,N,,,,,,,82 years,Date of birth:,25-10-1919,Place of birth:,"Marseille (Provence-Alpes-Cote d'Azur), France ",Date of death:|22-09-2002|Place of death:| ,"    Marseille (Provence-Alpes-Cote d'Azur), France",Professional:,1939-1957,, , ,,,,,,Date of death:|22-09-2002|Place of death:| , ,Age:,82 years
1807,09-07-1952,14º stage Distance:,178 km,Road – Stage,"    Aix-en-Provence (Provence-Alpes-Cote d'Azur), France ","Avignon (Provence-Alpes-Cote d'Azur), France",,Jean,Robic,France ,N,,,,,,,59 years,Date of birth:,10-06-1921,Place of birth:,"Condé-lès-Vouziers (Champagne-Ardenne), France ",Date of death:|06-10-1980|Place of death:| ,"    Claye-Souilly (Ile-de-France), France",Professional:,1943-1961,, , ,,,,,,Date of death:|06-10-1980|Place of death:| , ,Age:,59 years
1808,10-07-1952,15º stage Distance:,255 km,Road – Stage,"    Avignon (Provence-Alpes-Cote d'Azur), France ","Perpignan (Languedoc-Roussillon), France",,Georges,Decaux,France ,N,,,,,,,85 years,Date of birth:,14-04-1930,Place of birth:,"Gamaches (Haute-Normandie), France ",Date of death:|12-10-2015|Place of death:| ,"    Abbeville (Picardie), France",Professional:,1952-1956,, , ,,,,,,Date of death:|12-10-2015|Place of death:| , ,Age:,85 years
1809,11-07-1952,16º stage Distance:,200 km,Road – Stage,"    Perpignan (Languedoc-Roussillon), France ","Toulouse (Midi-Pyrenees), France",,André,Rosseel,Belgium ,N,,,,,,,41 years,Date of birth:,23-11-1924,Place of birth:,"Lauwe (West-Vlaanderen), Belgium ",Date of death:|08-12-1965|Place of death:| ,"    Roeselare (West-Vlaanderen), Belgium",Professional:,1947-1957,, , ,,,,,,Date of death:|08-12-1965|Place of death:| , ,Age:,41 years
1810,13-07-1952,17º stage Distance:,204 km,Road – Stage,"    Toulouse (Midi-Pyrenees), France ","Bagnères-de-Bigorre (Midi-Pyrenees), France",,Raphaël,Géminiani,France ,N,,,,,,,94  years,Date of birth:,12-06-1925,Place of birth:,"Clermont-Ferrand (Auvergne), France ",Date of death:||Place of death:|,1946-1960,, , ,,,,,,,,Professional:, ,Age:,94  years
1811,14-07-1952,18º stage Distance:,149 km,Road – Stage,"    Bagnères-de-Bigorre (Midi-Pyrenees), France ","Pau (Aquitaine), France",,Fausto,Coppi,Italy ,N,,,,,,,40 years,Date of birth:,15-09-1919,Place of birth:,"Castellania (Piemonte), Italy ",Date of death:|02-01-1960|Place of death:| ,"    Tortona (Piemonte), Italy",Professional:,1938-19421945-1959,, , ,,,,,,Date of death:|02-01-1960|Place of death:| , ,Age:,40 years
1812,15-07-1952,19º stage Distance:,195 km,Road – Stage,"    Pau (Aquitaine), France ","Bordeaux (Aquitaine), France",,Hans,Dekkers ,The Netherlands ,N,,,,,,,56 years,Date of birth:,16-06-1928,Place of birth:,"Helmond (Noord-Brabant), The Netherlands ",Date of death:|31-08-1984|Place of death:| ,"    Eindhoven (Noord-Brabant), The Netherlands",Professional:,1951-1955,, , ,,,,,,Date of death:|31-08-1984|Place of death:| , ,Age:,56 years
